rxn,rxnName,GPR,lowMean,highMean,deltaFlux,absDeltaFlux,lowRange,highRange,rangeChange
ETOHtex,"Ethanol transport via diffusion (extracellular to periplasm)",,-17.9507741456417,-0.630160467595524,17.3206136780462,17.3206136780462,0.000606969419637338,1.95672467544483e-05,-0.000587402172882889
ALCD2x,"Alcohol dehydrogenase (ethanol)",ZMO1_ZMO1596 or ZMO1_ZMO1722 or ZMO1_ZMO1236 or ZMO1_ZMO1771 or ZMO1_ZMOp33x021,-17.950768849082,-0.630160450317192,17.3206083987649,17.3206083987649,0.000596243292303456,1.96018294218447e-05,-0.000576641462881611
EX_etoh_e,"Ethanol exchange",,17.9507687263319,0.630160450391914,-17.3206082759399,17.3206082759399,0.000596488750540303,1.96015275228945e-05,-0.000576887223017408
ETOHtrpp,"Ethanol reversible transport via diffusion (periplasm)",,-17.9507395220191,-0.630150844127741,17.3205886778913,17.3205886778913,0.000655053842395503,3.8814132153675e-05,-0.000616239710241828
KIVD,"2-ketoisovalerate decarboxylase",,0.501651673757078,9.53082531413816,9.02917364038109,9.02917364038109,0.000228296804217876,0.00322466478748407,0.00299636798326619
IBADH,"Isobutyraldehyde reductase",,0.501651673757078,9.53082531413816,9.02917364038108,9.02917364038108,0.000228296804217876,0.0032246647874663,0.00299636798324843
EX_ibtol_e,"Isobutanol exchange",,0.501651673765251,9.53082531413777,9.02917364037252,9.02917364037252,0.000228296820563911,0.00322466478668826,0.00299636796612435
IBTOLtcp,"Isobutanol transport cytosol to periplasm",,0.501641953080133,9.53080823911426,9.02916628603412,9.02916628603412,0.000208855450327363,0.00319051473966869,0.00298165928934133
IBTOLtpe,"Isobutanol transport",,0.501660956337884,9.53074662627181,9.02908566993392,9.02908566993392,0.000246861965828234,0.00306728905476916,0.00282042708894093
KARA1,"Ketol-acid reductoisomerase (2,3-dihydroxy-3-methylbutanoate)",ZMO1_ZMO1141,-0.554819992471835,-9.54821731364391,-8.99339732117208,8.99339732117208,0.000227682372156757,0.0032238108394278,0.00299612846727104
ACLS,"Acetolactate synthase",ZMO1_ZMO1140 or ZMO1_ZMO0687 or ZMO1_ZMO1139 or ZMO1_ZMO1360,0.55481999247185,9.54821731364391,8.99339732117206,8.99339732117206,0.000227682372126694,0.0032238108394278,0.0029961284673011
DHAD1,"Dihydroxy-acid dehydratase (2,3-dihydroxy-3-methylbutanoate)",ZMO1_ZMO0368 or ZMO1_ZMO1792,0.55481999247185,9.54821731364391,8.99339732117206,8.99339732117206,0.000227682372126694,0.0032238108394278,0.0029961284673011
ACALD,"Acetaldehyde dehydrogenase (acetylating)",ZMO1_ZMO166,491.024456067524,499.77716637061,8.75271030308596,8.75271030308596,1017.95108786495,1000.44566725878,-17.5054206061719
H2Otex,"H2O transport via diffusion (extracellular to periplasm)",,-2.1435304270908,-10.1586117667533,-8.01508133966249,8.01508133966249,0.000617381919466364,3.43527905783958e-05,-0.000583029128887969
EX_h2o_e,"H2O exchange",,2.1435304270908,10.1586117667533,8.01508133966249,8.01508133966249,0.000617381919466364,3.43527905783958e-05,-0.000583029128887969
H2Otpp,"H2O transport via diffusion (periplasm)",,-2.14471637681474,-10.1589977873661,-8.01428141055132,8.01428141055132,0.000629011878335306,3.43068787458378e-05,-0.000594704999589468
EX_h_e,"H+ exchange",,1.42928881491315,9.27913424244696,7.84984542753381,7.84984542753381,0.00111086376798447,4.48540040496326e-05,-0.00106600976393484
Htex,"Proton transport via diffusion (extracellular to periplasm)",,-1.42928881491315,-9.27913424244696,-7.84984542753381,7.84984542753381,0.00111086376798447,4.48540040496326e-05,-0.00106600976393484
